symbol,header,bound,stubbed,mcp_reachable,members,mcp_members,sig
swmm_2d_boundary_edge_count,openswmm_2d.h,True,True,True,boundary_edge_count,boundary_edge_count,"int swmm_2d_boundary_edge_count(SWMM_Engine engine, int* count)"
swmm_2d_edge_get_geometry_bulk,openswmm_2d.h,True,True,False,get_edge_geometry_bulk,,"int swmm_2d_edge_get_geometry_bulk(SWMM_Engine engine, double* length, double* nx, double* ny)"
swmm_2d_force_clear_all,openswmm_2d.h,True,True,True,force_clear_all,force_clear_all,int swmm_2d_force_clear_all(SWMM_Engine engine)
swmm_2d_force_coupling_flux,openswmm_2d.h,True,True,True,force_coupling_flux,force_coupling_flux,"int swmm_2d_force_coupling_flux(SWMM_Engine engine, int idx, double value, int mode, int persist)"
swmm_2d_force_evap,openswmm_2d.h,True,True,True,force_evap,force_evap,"int swmm_2d_force_evap(SWMM_Engine engine, int idx, double value, int mode, int persist)"
swmm_2d_force_evap_uniform,openswmm_2d.h,True,True,True,force_evap_uniform,force_evap_uniform,"int swmm_2d_force_evap_uniform(SWMM_Engine engine, double value, int mode, int persist)"
swmm_2d_force_rainfall,openswmm_2d.h,True,True,True,force_rainfall,force_rainfall,"int swmm_2d_force_rainfall(SWMM_Engine engine, int idx, double value, int mode, int persist)"
swmm_2d_force_rainfall_uniform,openswmm_2d.h,True,True,True,force_rainfall_uniform,force_rainfall_uniform,"int swmm_2d_force_rainfall_uniform(SWMM_Engine engine, double value, int mode, int persist)"
swmm_2d_get_abs_tolerance,openswmm_2d.h,True,True,True,abs_tolerance,abs_tolerance,"int swmm_2d_get_abs_tolerance(SWMM_Engine engine, double* atol)"
swmm_2d_get_continuity_error,openswmm_2d.h,True,True,True,continuity_error;get_mass_balance,get_mass_balance,"int swmm_2d_get_continuity_error(SWMM_Engine engine, double* err)"
swmm_2d_get_coupling_flux,openswmm_2d.h,True,True,True,get_coupling_flux,get_coupling_flux,"int swmm_2d_get_coupling_flux(SWMM_Engine engine, int idx, double* flux)"
swmm_2d_get_coupling_fluxes_bulk,openswmm_2d.h,True,True,True,get_coupling_fluxes,get_coupling_fluxes,"int swmm_2d_get_coupling_fluxes_bulk(SWMM_Engine engine, double* fluxes)"
swmm_2d_get_cvode_last_step,openswmm_2d.h,True,True,True,cvode_last_step,cvode_last_step,"int swmm_2d_get_cvode_last_step(SWMM_Engine engine, double* h_last)"
swmm_2d_get_cvode_steps,openswmm_2d.h,True,True,True,cvode_steps,cvode_steps,"int swmm_2d_get_cvode_steps(SWMM_Engine engine, long* steps)"
swmm_2d_get_depth,openswmm_2d.h,True,True,True,get_depth,get_depth,"int swmm_2d_get_depth(SWMM_Engine engine, int idx, double* depth)"
