domain	function	header	signature
2d	swmm_2d_boundary_edge_count	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_boundary_edge_count(SWMM_Engine engine, int* count);
2d	swmm_2d_edge_get_geometry_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_edge_get_geometry_bulk(SWMM_Engine engine, double* length, double* nx, double* ny);
2d	swmm_2d_force_clear_all	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_clear_all(SWMM_Engine engine);
2d	swmm_2d_force_coupling_flux	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_coupling_flux(SWMM_Engine engine, int idx, double value, int mode, int persist);
2d	swmm_2d_force_rainfall	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_rainfall(SWMM_Engine engine, int idx, double value, int mode, int persist);
2d	swmm_2d_force_rainfall_uniform	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_rainfall_uniform(SWMM_Engine engine, double value, int mode, int persist);
2d	swmm_2d_get_abs_tolerance	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_abs_tolerance(SWMM_Engine engine, double* atol);
2d	swmm_2d_get_coupling_flux	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_coupling_flux(SWMM_Engine engine, int idx, double* flux);
2d	swmm_2d_get_coupling_fluxes_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_coupling_fluxes_bulk(SWMM_Engine engine, double* fluxes);
2d	swmm_2d_get_cvode_last_step	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_cvode_last_step(SWMM_Engine engine, double* h_last);
2d	swmm_2d_get_cvode_steps	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_cvode_steps(SWMM_Engine engine, long* steps);
2d	swmm_2d_get_depth	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_depth(SWMM_Engine engine, int idx, double* depth);
2d	swmm_2d_get_depths_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_depths_bulk(SWMM_Engine engine, double* depths);
2d	swmm_2d_get_dry_depth	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_dry_depth(SWMM_Engine engine, double* dry_depth);
2d	swmm_2d_get_edge_bc_cum_flux	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_cum_flux(SWMM_Engine engine, int tri_idx, int edge, double* cum_flux);
2d	swmm_2d_get_edge_bc_head	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_head(SWMM_Engine engine, int tri_idx, int edge, double* head);
2d	swmm_2d_get_edge_bc_slope	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_slope(SWMM_Engine engine, int tri_idx, int edge, double* slope);
2d	swmm_2d_get_edge_bc_type	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_type(SWMM_Engine engine, int tri_idx, int edge, int* bc_type);
2d	swmm_2d_get_edge_flux_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_flux_bulk(SWMM_Engine engine, double* flux);
2d	swmm_2d_get_head	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_head(SWMM_Engine engine, int idx, double* head);
2d	swmm_2d_get_heads_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_heads_bulk(SWMM_Engine engine, double* heads);
2d	swmm_2d_get_max_depth	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_max_depth(SWMM_Engine engine, double* max_depth);
2d	swmm_2d_get_net_source	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_net_source(SWMM_Engine engine, int idx, double* net_source);
2d	swmm_2d_get_rainfall	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_rainfall(SWMM_Engine engine, int idx, double* rainfall);
2d	swmm_2d_get_rel_tolerance	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_rel_tolerance(SWMM_Engine engine, double* rtol);
2d	swmm_2d_get_stat_max_depths	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_stat_max_depths(SWMM_Engine engine, double* max_depths);
2d	swmm_2d_get_total_exchange_flow	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_total_exchange_flow(SWMM_Engine engine, double* flow);
2d	swmm_2d_get_total_volume	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_total_volume(SWMM_Engine engine, double* volume);
2d	swmm_2d_is_active	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_is_active(SWMM_Engine engine, int* active);
2d	swmm_2d_set_abs_tolerance	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_set_abs_tolerance(SWMM_Engine engine, double atol);
