domain	qualname	module	kind	signature
2d	Surface2D.__init__	_2d	method	(self, engine_ptr: int) -> None
2d	Surface2D.abs_tolerance	_2d	property	(self) -> float
2d	Surface2D.boundary_edge_count	_2d	property	(self) -> int
2d	Surface2D.cvode_last_step	_2d	property	(self) -> float
2d	Surface2D.cvode_steps	_2d	property	(self) -> int
2d	Surface2D.dry_depth	_2d	property	(self) -> float
2d	Surface2D.force_clear_all	_2d	method	(self) -> None
2d	Surface2D.force_coupling_flux	_2d	method	(self, idx: int, value: float, mode: int=1, persist: int=0) -> None
2d	Surface2D.force_rainfall	_2d	method	(self, idx: int, value: float, mode: int=1, persist: int=0) -> None
2d	Surface2D.force_rainfall_uniform	_2d	method	(self, value: float, mode: int=1, persist: int=0) -> None
2d	Surface2D.get_coupling_flux	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_coupling_fluxes	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_depth	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_depths	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_edge_bc_cum_flux	_2d	method	(self, tri_idx: int, edge: int) -> float
2d	Surface2D.get_edge_bc_head	_2d	method	(self, tri_idx: int, edge: int) -> float
2d	Surface2D.get_edge_bc_slope	_2d	method	(self, tri_idx: int, edge: int) -> float
2d	Surface2D.get_edge_bc_type	_2d	method	(self, tri_idx: int, edge: int) -> int
2d	Surface2D.get_edge_flux_bulk	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_edge_geometry_bulk	_2d	method	(self) -> tuple[npt.NDArray[np.float64], npt.NDArray[np.float64], npt.NDArray[np.float64]]
2d	Surface2D.get_head	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_heads	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_net_source	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_rainfall	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_stat_max_depths	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_triangle_area	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_triangle_centroid	_2d	method	(self, idx: int) -> tuple[float, float, float]
2d	Surface2D.get_triangle_coupled_node	_2d	method	(self, tri_idx: int) -> int
2d	Surface2D.get_triangle_mannings	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_triangle_neighbours	_2d	method	(self, idx: int) -> tuple[int, int, int]
2d	Surface2D.get_triangle_vertices	_2d	method	(self, idx: int) -> tuple[int, int, int]
2d	Surface2D.get_vertex_coords	_2d	method	(self) -> tuple[npt.NDArray[np.float64], npt.NDArray[np.float64], npt.NDArray[np.float64]]
2d	Surface2D.get_vertex_coupled_node	_2d	method	(self, vertex_idx: int) -> int
2d	Surface2D.get_vertex_heads	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.is_active	_2d	property	(self) -> bool
2d	Surface2D.max_depth	_2d	property	(self) -> float
2d	Surface2D.n_triangles	_2d	property	(self) -> int
2d	Surface2D.n_vertices	_2d	property	(self) -> int
2d	Surface2D.rel_tolerance	_2d	property	(self) -> float
2d	Surface2D.set_edge_bc_head	_2d	method	(self, tri_idx: int, edge: int, head: float) -> None
2d	Surface2D.set_edge_bc_slope	_2d	method	(self, tri_idx: int, edge: int, slope: float) -> None
2d	Surface2D.set_edge_bc_type	_2d	method	(self, tri_idx: int, edge: int, bc_type: int) -> None
2d	Surface2D.total_exchange_flow	_2d	property	(self) -> float
2d	Surface2D.total_volume	_2d	property	(self) -> float
2d	Surface2D.triangle_coupling_count	_2d	property	(self) -> int
2d	Surface2D.vertex_coupling_count	_2d	property	(self) -> int
controls	Controls.__init__	_controls	method	(self, solver: Solver) -> None
controls	Controls.add_rule	_controls	method	(self, rule_text: str) -> None
controls	Controls.clear_rules	_controls	method	(self) -> None
controls	Controls.count	_controls	method	(self) -> int
controls	Controls.get_rule	_controls	method	(self, idx: int) -> str
controls	Controls.set_link_setting	_controls	method	(self, link_idx: int, setting: float) -> None
controls	Controls.set_link_status	_controls	method	(self, link_idx: int, status: int) -> None
dates	datetime_to_oadate	_dates	function	(dt: datetime) -> float
dates	oadate_to_datetime	_dates	function	(value: float) -> datetime
edit	ConversionResult.__init__	_edit	method	(self, new_type: int, cleared_fields: list[str], warnings: list[str]) -> None
edit	ConversionResult.__repr__	_edit	method	(self) -> str
edit	ImpactEntry.__init__	_edit	method	(self, obj_type: int, obj_idx: int, field: str, cascaded: bool) -> None
edit	ImpactEntry.__repr__	_edit	method	(self) -> str
edit	ModelEditor.__init__	_edit	method	(self, engine: object) -> None
edit	ModelEditor.analyze_gage_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_link_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_node_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_subcatch_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_table_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_transect_impact	_edit	method	(self, idx: int) -> list[ImpactEntry]
edit	ModelEditor.convert_link	_edit	method	(self, id_or_idx: int | str, new_type: int) -> ConversionResult
edit	ModelEditor.convert_node	_edit	method	(self, id_or_idx: int | str, new_type: int) -> ConversionResult
edit	ModelEditor.delete_gage	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_link	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_node	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_subcatch	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_table	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_transect	_edit	method	(self, idx: int) -> list[ImpactEntry]
edit	ModelEditor.gage_count	_edit	property	(self) -> int
edit	ModelEditor.link_count	_edit	property	(self) -> int
edit	ModelEditor.node_count	_edit	property	(self) -> int
edit	ModelEditor.subcatch_count	_edit	property	(self) -> int
edit	ModelEditor.table_count	_edit	property	(self) -> int
forcing	Forcing.__init__	_forcing	method	(self, solver: Solver) -> None
forcing	Forcing.clear	_forcing	method	(self, target_type: int, idx: int) -> None
forcing	Forcing.clear_all	_forcing	method	(self) -> None
forcing	Forcing.gage_rainfall	_forcing	method	(self, idx: int, value: float, mode: int=0, persist: bool=False) -> None
forcing	Forcing.link_flow	_forcing	method	(self, idx: int, value: float, mode: int=0, persist: bool=False) -> None
forcing	Forcing.link_setting	_forcing	method	(self, idx: int, value: float, mode: int=0, persist: bool=False) -> None
forcing	Forcing.node_head_boundary	_forcing	method	(self, idx: int, value: float, mode: int=0, persist: bool=False) -> None
forcing	Forcing.node_lat_inflow	_forcing	method	(self, idx: int, value: float, mode: int=0, persist: bool=False) -> None
forcing	Forcing.node_quality	_forcing	method	(self, node_idx: int, pollutant_idx: int, mass_rate: float, mode: int=0, persist: bool=False) -> None
forcing	Forcing.subcatch_evap	_forcing	method	(self, idx: int, value: float, mode: int=0, persist: bool=False) -> None
forcing	Forcing.subcatch_rainfall	_forcing	method	(self, idx: int, value: float, mode: int=0, persist: bool=False) -> None
gages	Gages.__init__	_gages	method	(self, solver: Solver) -> None
gages	Gages._resolve	_gages	method	(self, idx: Union[int, str]) -> int
gages	Gages.add	_gages	method	(self, gage_id: str) -> int
gages	Gages.count	_gages	method	(self) -> int
gages	Gages.delete	_gages	method	(self, idx: Union[int, str]) -> list
gages	Gages.get_data_source	_gages	method	(self, idx: Union[int, str]) -> int
gages	Gages.get_id	_gages	method	(self, idx: int) -> str
gages	Gages.get_index	_gages	method	(self, gage_id: str) -> int
gages	Gages.get_rain_type	_gages	method	(self, idx: Union[int, str]) -> int
gages	Gages.get_rainfall	_gages	method	(self, idx: Union[int, str]) -> float
gages	Gages.get_rainfall_bulk	_gages	method	(self) -> npt.NDArray[np.float64]
gages	Gages.rename	_gages	method	(self, idx: Union[int, str], new_id: str) -> None
gages	Gages.set_data_source	_gages	method	(self, idx: Union[int, str], source: int) -> None
gages	Gages.set_filename	_gages	method	(self, idx: Union[int, str], path: str, station_id: str) -> None
gages	Gages.set_rain_interval	_gages	method	(self, idx: Union[int, str], seconds: float) -> None
gages	Gages.set_rain_type	_gages	method	(self, idx: Union[int, str], type: int) -> None
gages	Gages.set_rainfall	_gages	method	(self, idx: Union[int, str], rainfall: float) -> None
gages	Gages.set_timeseries	_gages	method	(self, idx: Union[int, str], ts_id: str) -> None
geopackage	GeoPackage.__enter__	_geopackage	method	(self) -> 'GeoPackage'
geopackage	GeoPackage.__exit__	_geopackage	method	(self, exc_type: Optional[Type[BaseException]], exc_val: Optional[BaseException], exc_tb: Optional[TracebackType]) -> bool
geopackage	GeoPackage.__init__	_geopackage	method	(self, path: str) -> None
geopackage	GeoPackage.begin	_geopackage	method	(self) -> None
geopackage	GeoPackage.close	_geopackage	method	(self) -> None
geopackage	GeoPackage.commit	_geopackage	method	(self) -> None
geopackage	GeoPackage.create_observed_series	_geopackage	method	(self, name: str, variable: str, obj_type: str='', obj_id: str='', source: str='', units: str='') -> int
geopackage	GeoPackage.last_error	_geopackage	property	(self) -> str
geopackage	GeoPackage.object_counts	_geopackage	method	(self, sim_id: str) -> dict
geopackage	GeoPackage.observed_series_count	_geopackage	method	(self) -> int
geopackage	GeoPackage.observed_value_count	_geopackage	method	(self, series_id: int) -> int
geopackage	GeoPackage.query_double	_geopackage	method	(self, sql: str) -> float
geopackage	GeoPackage.query_int	_geopackage	method	(self, sql: str) -> int
